Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified,Composite_Score
AAPL,130.17002868652344,46.78091222738867,157796583.33333334,79.62350082538828,47.41939848665171,72.2262229549334,10.807963017932952,171.42199,31.647,1.52411,7.9,3813037572096,Technology,True,71.09865542366883
ABBV,86.62450408935547,34.96225749175165,9462549.603174603,24.062170252934337,9.22927778908697,36.42182247963334,7.07158756718766,137.961,35.497,,9.1,382886379520,Healthcare,True,47.40407099223395
ABT,99.07518005371094,39.36942105322639,6718530.158730159,26.681594161205428,18.4255058215163,64.44132219182134,-0.3140139014503453,30.620000000000005,19.395,0.2531,6.9,214911877120,Healthcare,True,63.236190805661536
ADBE,497.45001220703125,48.086944874088225,3079301.984126984,48.74563379525965,12.303871429746602,59.55936487941476,3.816578897075895,55.425999999999995,36.503,0.57197,10.5,128944070656,Technology,True,62.616280279618
ADI,133.95535278320312,50.214837816141575,2940360.3174603176,23.884579549210965,21.73084441545463,63.51347757692048,8.235539248322016,6.5729999999999995,30.501,0.265,25.900000000000002,147948994560,Technology,True,64.92557679624696
ADP,156.67539978027344,44.66133746122918,2250287.698412698,4.5312510180413215,16.853386193384388,52.57154575194378,3.295934660507248,70.572996,25.891,1.54917,7.1,105416450048,Technology,True,63.93186758583636
AEP,67.87315368652344,38.573380483103655,3145892.8571428573,-9.93259627306806,0.409934593310346,40.45662665925871,-5.379248744034332,12.923001000000001,25.885,1.52132,10.9,63900004352,Utilities,True,42.5055138319242
AFL,39.177974700927734,58.239696468759725,4046538.492063492,-15.214885792841667,26.57546243500854,39.85366121160369,5.54919249917385,15.58,43.269999999999996,0.50003,60.699999999999996,58585440256,Financial Services,True,62.59484622875699
AIG,33.47683334350586,71.28933889860426,6996319.047619048,-24.407311439946337,27.833794454585703,29.17732379043413,2.978844036671276,7.688000000000001,15.235000000000001,0.2248,-4.1000000000000005,41001824256,Financial Services,True,63.877912118902046
ALL,95.63358306884766,43.04873837185448,2054909.5238095238,-2.056366355525759,16.218104860752096,68.9744656186258,8.957057028269602,34.469001999999996,24.439,0.2943,3.8,51496845312,Financial Services,True,63.1626991744953
AMAT,83.29598236083984,59.0907561237473,8300647.222222222,41.72569647996768,43.488453852538136,46.188786239912325,13.50318588542997,35.508,28.441,0.34533,-3.5000000000000004,254136909824,Technology,True,71.2896386409183
