Date,Ticker,Action,Shares,Price,Value,State,Portfolio_Value,Entry_Date,Entry_Price,Entry_State,Hold_Days,PnL_$,PnL_%
2021-01-04,TSLA,BUY,46,238.7516775512695,10982.577167358397,P1,110000.0,,,,,,
2021-01-11,TPR,BUY,363,30.68851400375366,11139.930583362579,P1,110000.0,,,,,,
2021-01-11,FANG,BUY,239,46.64123319625854,11147.254733905791,P1,110000.0,,,,,,
2021-01-11,KEY,BUY,766,14.557586894035339,11151.11156083107,P1,110000.0,,,,,,
2021-01-11,FITB,BUY,424,26.2913512802124,11147.532942810058,P1,110000.0,,,,,,
2021-01-18,DVN,BUY,728,15.329058756828307,11159.554774971008,P1,110000.0,,,,,,
2021-01-18,CFG,BUY,334,33.33713804244995,11134.604106178283,P1,110000.0,,,,,,
2021-01-18,OXY,BUY,521,21.414773511886594,11157.096999692916,P1,110000.0,,,,,,
2021-01-18,EOG,BUY,235,47.49617586135864,11161.60132741928,P1,109999.99999999999,,,,,,
2021-01-25,SPG,BUY,132,74.29759422302246,9807.282437438964,P1,110000.0,,,,,,
2021-02-01,TPR,SELL,363,27.650311317443848,10037.063008232117,STOP_LOSS,120037.06300823211,2021-01-11,30.68851400375366,P1,21.0,-1102.8675751304618,-9.9001296900143
2021-02-01,KEY,SELL,766,13.12475664138794,10053.563587303162,STOP_LOSS,118950.6960121727,2021-01-11,14.557586894035339,P1,21.0,-1097.5479735279077,-9.842498369248757
2021-02-01,FITB,SELL,424,23.793282737731932,10088.35188079834,STOP_LOSS,117887.93633213997,2021-01-11,26.2913512802124,P1,21.0,-1059.1810620117176,-9.501484027413158
2021-02-01,DVN,SELL,728,12.575451736450194,9154.928864135742,STOP_LOSS,115895.33225346565,2021-01-18,15.329058756828307,P1,14.0,-2004.625910835266,-17.963314408665322
2021-02-01,CFG,SELL,334,29.16278760910034,9740.371061439515,STOP_LOSS,114476.14853993416,2021-01-18,33.33713804244995,P1,14.0,-1394.2330447387685,-12.521622066159921
2021-02-01,EOG,SELL,235,39.884933166503906,9372.959294128417,STOP_LOSS,112714.5037278843,2021-01-18,47.49617586135864,P1,14.0,-1788.642033290862,-16.02495897158532
2021-02-08,MPC,BUY,242,42.432288265228266,10268.61376018524,P1,101552.90240046501,,,,,,
2021-02-15,MGM,BUY,282,36.44619504928588,10277.82700389862,P1,101552.90240046501,,,,,,
2021-02-15,TPR,BUY,300,34.346388244628905,10303.916473388672,P1,101552.90240046501,,,,,,
2021-02-15,VLO,BUY,185,55.60822294235229,10287.521244335174,P1,101552.90240046501,,,,,,
2021-02-15,WYNN,BUY,88,116.26709926605224,10231.504735412596,P1,101552.90240046501,,,,,,
2021-02-22,CCL,BUY,284,24.958850154876707,7088.313443984985,P1,101552.90240046501,,,,,,
2021-03-08,TSLA,SELL,46,197.32349899291992,9076.880953674316,STOP_LOSS,110629.78335413933,2021-01-04,238.7516775512695,P1,63.0,-1905.6962136840812,-17.351994751724124
2021-03-08,DVN,BUY,452,20.06015405654907,9067.18963356018,P1,99647.20618678094,,,,,,
2021-03-22,DVN,SELL,452,17.556576175689695,7935.572431411742,STOP_LOSS,107582.77861819268,2021-03-08,20.06015405654907,P1,14.0,-1131.6172021484372,-12.480352213656241
2021-03-22,BA,BUY,30,259.657307434082,7789.719223022459,P1,98515.58898463249,,,,,,
