Date,Ticker,Action,Shares,Price,Value,State,Portfolio_Value,Distance_From_Support,Entry_Date,Entry_Price,Entry_State,Hold_Days,PnL_$,PnL_%
2021-09-20,TSM,BUY,50,111.19400424957274,5559.700212478637,P1,110000.0,8.926100725363867,,,,,,
2021-10-04,TSM,SELL,50,102.75383056640625,5137.6915283203125,N2,115137.69152832031,,2021-09-20,111.19400424957274,P1,14.0,-422.0086841583243,-7.590493516379429
2021-10-04,GOOG,BUY,40,137.47832412719725,5499.132965087891,P1,109577.99131584167,5.807814456084079,,,,,,
2021-10-04,ASML,BUY,7,721.8139913940429,5052.6979397583,P1,109577.99131584167,9.466018756560079,,,,,,
2021-11-08,TSM,BUY,50,111.24123390197752,5562.061695098876,P1,109577.99131584167,8.96476793944457,,,,,,
2022-01-24,ASML,SELL,7,661.05896484375,4627.41275390625,N2,114205.40406974792,,2021-10-04,721.8139913940429,P1,112.0,-425.28518585204984,-8.416992088634407
2022-01-24,TSLA,BUY,17,319.3528312683105,5428.998131561279,P1,109152.70612998962,6.121414309831176,,,,,,
2022-01-24,MRVL,BUY,77,72.45729496002197,5579.211711921692,P1,109152.70612998962,7.5091641348935285,,,,,,
2022-02-28,TSM,SELL,50,102.87368316650391,5143.684158325195,N2,114296.39028831481,,2021-11-08,111.24123390197752,P1,112.0,-418.37753677368073,-7.521986624893834
2022-03-14,GOOG,SELL,40,128.20915420532228,5128.366168212891,N2,113862.69476142882,,2021-10-04,137.47832412719725,P1,161.0,-370.7667968749993,-6.742277359519592
2022-03-14,MRVL,SELL,77,61.45743438720703,4732.222447814941,N2,113095.78424415588,,2022-01-24,72.45729496002197,P1,49.0,-846.9892641067509,-15.181163717033705
2022-03-14,TSLA,SELL,17,262.46550201416017,4461.913534240723,N2,111978.48606647491,,2022-01-24,319.3528312683105,P1,49.0,-967.084597320556,-17.81331608309912
2023-04-24,ASML,BUY,8,627.9538735961913,5023.630988769531,P1,106549.48793491363,7.02633752872904,,,,,,
2023-08-14,AMD,BUY,51,109.18354969024656,5568.361034202575,P1,106549.48793491363,6.9907935896631175,,,,,,
2023-08-21,GOOG,BUY,43,129.06364795684814,5549.73686214447,P1,106549.48793491363,9.585510120014638,,,,,,
2023-08-28,MRVL,BUY,207,53.841501731872555,11145.190858497619,P1,106549.48793491363,2.336448598130841,,,,,,
2023-08-28,PLTR,BUY,378,14.747949728965757,5574.724997549056,P1,106549.48793491363,6.675838480253986,,,,,,
2023-09-18,ASML,SELL,8,578.9596618652344,4631.677294921875,N2,111181.1652298355,,2023-04-24,627.9538735961913,P1,147.0,-391.9536938476558,-7.802199140897876
2023-09-18,NVDA,BUY,125,44.52976804733276,5566.221005916595,P1,106157.53424106597,8.663538272263748,,,,,,
2023-10-30,MRVL,SELL,207,46.44247089385986,9613.591475028992,N2,115771.12571609496,,2023-08-28,53.841501731872555,P1,63.0,-1531.599383468627,-13.742244551163187
2024-04-15,MRVL,BUY,78,70.82170398712158,5524.092910995483,P1,104625.93485759734,9.62558148966375,,,,,,
2024-04-22,ASML,BUY,13,858.7935195922851,11164.315754699706,P1,104625.93485759734,0.9098478115972854,,,,,,
2024-07-29,AMD,SELL,51,138.59010543823243,7068.095377349854,N2,111694.03023494719,,2023-08-14,109.18354969024656,P1,350.0,1499.734343147279,26.933137667178052
2024-08-05,MRVL,SELL,78,58.38420993804932,4553.968375167847,N2,110679.63757591246,,2024-04-15,70.82170398712158,P1,112.0,-970.1245358276365,-17.561698390275858
2024-08-05,ASML,SELL,13,791.8344360351563,10293.847668457032,N2,115449.39233337401,,2024-04-22,858.7935195922851,P1,105.0,-870.468086242674,-7.79687806551193
2024-08-05,TSM,BUY,37,149.06034515380858,5515.232770690917,P1,104285.07657867431,6.341118819658556,,,,,,
2025-02-17,TSLA,BUY,15,361.177596282959,5417.663944244385,P1,104285.07657867431,8.638711373295317,,,,,,
2025-02-17,ALAB,BUY,62,89.1677484512329,5528.4004039764395,P1,104285.07657867431,9.447917548693297,,,,,,
2025-03-10,NVDA,SELL,125,111.53260299682617,13941.575374603271,N2,118226.65195327759,,2023-09-18,44.52976804733276,P1,539.0,8375.354368686676,150.4675139521791
2025-03-10,TSLA,SELL,15,260.043313293457,3900.6496994018553,N2,116561.08064676284,,2025-02-17,361.177596282959,P1,21.0,-1517.0142448425295,-28.00126143767508
2025-03-10,ALAB,SELL,62,66.25079818725585,4107.549487609863,N2,115250.96619012833,,2025-02-17,89.1677484512329,P1,21.0,-1420.8509163665767,-25.70094082448504
2025-03-17,GOOG,SELL,43,165.48858489990235,7116.009150695801,N2,116838.57493684768,,2023-08-21,129.06364795684814,P1,574.0,1566.2722885513303,28.22246040591748
2025-03-17,TSM,SELL,37,170.0576971435547,6292.134794311523,N2,117580.97286901473,,2024-08-05,149.06034515380858,P1,224.0,776.9020236206061,14.086477505522948
2025-09-01,ASML,BUY,7,752.4243817138671,5266.97067199707,P1,112065.74009832382,7.963698570634686,,,,,,
2025-11-17,ALAB,BUY,38,146.50509628295896,5567.193658752441,P1,112065.74009832382,5.332542027213798,,,,,,
2025-11-24,NVDA,BUY,30,181.553091506958,5446.59274520874,P1,112065.74009832382,8.284456330843904,,,,,,
2025-12-22,TSM,BUY,19,293.2842623901367,5572.400985412597,P1,112065.74009832383,7.907384904037667,,,,,,
