ticker,entry_date,exit_date,entry_price,exit_price,return_pct,hold_weeks,exit_reason
AAPL,2021-01-01,2022-05-20,129.17,134.9,4.436014554463125,72.0,Transition to N2 (Blue) + Price < D200
AAPL,2022-08-12,2022-10-07,165.71,143.03,-13.686560859332571,8.0,Transition to N2 (Blue) + Price < D200
AAPL,2023-02-10,2024-03-08,148.63,167.63,12.783421920204535,56.0,Transition to N2 (Blue) + Price < D200
AAPL,2024-05-17,2025-03-21,188.56,213.37,13.157615613067462,44.0,Transition to N2 (Blue) + Price < D200
ABNB,2021-11-19,2022-01-28,204.33,138.41,-32.26153770860863,10.0,Transition to N2 (Blue) + Price < D200
ABNB,2022-03-25,2022-05-06,170.83,143.09,-16.238365626646377,6.0,Transition to N2 (Blue) + Price < D200
ABNB,2023-02-10,2023-11-03,114.94,115.5,0.48721071863581195,38.0,Transition to N2 (Blue) + Price < D200
ABNB,2023-11-17,2024-08-09,126.28,114.64,-9.217611656636047,38.0,Transition to N2 (Blue) + Price < D200
ABNB,2025-02-21,2025-03-21,155.31,126.15,-18.77535252076492,4.0,Transition to N2 (Blue) + Price < D200
ABNB,2025-05-16,2025-08-08,136.79,120.03,-12.252357628481608,12.0,Transition to N2 (Blue) + Price < D200
ADBE,2021-01-01,2022-01-14,500.12,516.9,3.3551947532592123,54.0,Transition to N2 (Blue) + Price < D200
ADBE,2023-01-27,2023-03-10,365.82,338.37,-7.503690339511232,6.0,Transition to N2 (Blue) + Price < D200
ADBE,2023-03-24,2024-03-22,369.0,511.25,38.550135501355015,52.0,Transition to N2 (Blue) + Price < D200
ADBE,2024-06-28,2024-10-04,546.76,503.8,-7.857195113029479,14.0,Transition to N2 (Blue) + Price < D200
ADBE,2024-11-15,2024-12-13,529.87,474.63,-10.425198633627119,4.0,Transition to N2 (Blue) + Price < D200
ADI,2021-01-01,2022-01-28,135.38,144.02,6.382035751218802,56.0,Transition to N2 (Blue) + Price < D200
ADI,2022-06-03,2022-06-17,159.18,134.93,-15.234325920341751,2.0,Transition to N2 (Blue) + Price < D200
ADI,2022-07-29,2022-09-09,159.58,143.78,-9.900990099009906,6.0,Transition to N2 (Blue) + Price < D200
ADI,2022-11-18,2023-10-20,152.6,162.45,6.454783748361727,48.0,Transition to N2 (Blue) + Price < D200
ADI,2023-12-01,2025-02-07,176.56,204.46,15.801993656547353,62.0,Transition to N2 (Blue) + Price < D200
ADI,2025-02-21,2025-03-21,239.86,203.44,-15.183857250062543,4.0,Transition to N2 (Blue) + Price < D200
