Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified
A,113.26593780517578,36.69928173356124,1854016.6666666667,37.46194355131793,32.61351654480795,54.65668808476389,4.650481669964648,20.618999,26.384002000000002,0.52559,9.4,41229463552,Healthcare,False
AAPL,130.17002868652344,46.78086259825534,157796583.33333334,79.6234819147869,47.419411224274405,72.2262456589193,10.80796129077424,171.42199,31.647,1.52411,7.9,3807570558976,Technology,True
ABBV,86.62450408935547,34.96224246018754,9462549.603174603,24.062170252934337,9.229256772734242,36.42171506603414,7.07158756718766,137.961,35.497,,9.1,383328026624,Healthcare,True
ABT,99.07515716552734,39.3694541137703,6718530.158730159,26.681527821107366,18.425467663256374,64.44141317381619,-0.31403631855545266,30.620000000000005,19.395,0.2531,6.9,214824861696,Healthcare,True
ADBE,497.45001220703125,48.086944874088225,3079301.984126984,48.74563379525965,12.303871429746602,59.55936487941476,3.816578897075895,55.425999999999995,36.503,0.57197,10.5,128971644928,Technology,True
ADI,133.95538330078125,50.21487537761672,2940360.3174603176,23.88458154927061,21.730872148057152,63.51357985799296,8.235564173325743,6.5729999999999995,30.501,0.265,25.900000000000002,148169342976,Technology,True
ADP,156.67538452148438,44.66135152638049,2250287.698412698,4.53124083762811,16.8533615144321,52.571504849532445,3.2959212750660436,70.572996,25.891,1.54917,7.1,105440747520,Technology,True
ADSK,299.4100036621094,50.4865097939987,1680217.4603174604,59.40478131465722,24.676248707784172,71.3979670637674,11.43233955756822,40.333998,25.688,0.9450400000000001,18.0,55757008896,Technology,False
AEE,66.4719009399414,43.289646945188814,1606075.0,3.8146246442046103,6.471468678762739,45.20234980278733,-3.1984039600747325,11.387,34.0,1.5573599999999999,24.8,27912370176,Utilities,False
AEP,67.87313842773438,38.57335167474807,3145892.8571428573,-9.932616521420174,0.4099006868096675,40.45655895588203,-5.379265789216832,12.923001000000001,25.885,1.52132,10.9,63929446400,Utilities,True
AFL,39.177978515625,58.239691856816265,4046538.492063492,-15.214870538104663,26.57545915972882,39.85380313952705,5.549202776331337,15.58,43.269999999999996,0.50003,60.699999999999996,58697756672,Financial Services,True
AIG,33.476837158203125,71.28934585373213,6996319.047619048,-24.4072963147171,27.83379040011898,29.177504092409976,2.9788567378701756,7.688000000000001,15.235000000000001,0.2248,-4.1000000000000005,40935342080,Financial Services,True
AJG,115.39881134033203,40.443419833365205,1030125.7936507936,29.596051239162847,26.03915378781099,61.53005709542314,5.743440342565518,9.0670004,17.212,0.58979,20.0,65593131008,Financial Services,False
ALB,140.70718383789062,61.69328612892985,1484991.6666666667,109.08027010833922,91.30083374504198,60.42424721889168,20.008314206954815,0.209,-2.244,0.36655,-3.5000000000000004,20462893056,Basic Materials,False
ALGN,524.3200073242188,71.69130331633828,920360.7142857143,84.82798253716318,87.3039763665101,62.14113471950498,9.262197578396773,9.5769994,15.673,0.03064,1.7999999999999998,12441560064,Healthcare,False
ALL,95.6335678100586,43.048749053459346,2054909.5238095238,-2.056397288902023,16.21809709285157,68.974229073428,8.957035287053106,34.469001999999996,24.439,0.2943,3.8,51512659968,Financial Services,True
AMAT,83.29596710205078,59.090758887384865,8300647.222222222,41.725679716423215,43.48839927996686,46.18866986063789,13.503168515056904,35.508,28.441,0.34533,-3.5000000000000004,254949474304,Technology,True
AMD,92.29000091552734,60.97001057214734,61718450.0,87.9633478281475,76.32785755917536,57.68750080466309,6.435245159652453,5.317,13.736,0.06366,35.6,371600490496,Technology,True
AMGN,194.07815551757812,38.44322704207258,2806983.73015873,-2.7700556588823733,-10.840621736901904,45.02217981908487,0.19701283202735886,81.71000000000001,34.153,5.67491,12.4,177623220224,Healthcare,True
AMT,190.2599334716797,43.981903787706,2080276.5873015872,-1.7446120732961496,-15.730705371952745,54.86992623893199,-3.7471816299395972,28.839,45.477000000000004,4.180899999999999,7.7,85043789824,Real Estate,True
AMZN,164.29249572753906,38.57137510697255,98776468.25396825,73.12079511219653,13.685428101871674,72.38992925259322,3.5789030258344963,24.326999999999998,11.057,0.43405,13.4,2541598801920,Consumer Cyclical,True
ANET,18.059999465942383,49.04377027106468,12336666.666666666,41.14888126810733,37.26663768721664,65.51157918577657,10.34735328498602,31.735999999999997,42.378,,27.500000000000004,164547624960,Technology,True
AON,199.13978576660156,39.88532586209645,1532861.111111111,-0.08349582455801609,8.467384589479396,49.394650451812325,2.0157127472158183,37.69,20.365,2.1488,7.3999999999999995,74256949248,Financial Services,False
APD,238.31454467773438,44.04667410911127,1220198.4126984128,19.264742727382895,10.072681798230345,51.069933931509645,-2.2745460128023938,-1.923,-89.169,1.06228,-0.6,59238346752,Basic Materials,False
APH,30.99684715270996,40.994521117907965,6366855.555555556,20.11069567978355,36.059993312234106,37.156599596056694,3.6980810357686558,34.807998,27.481002,0.6399,53.400000000000006,188981936128,Technology,True
APTV,130.7899932861328,72.07763036859701,2014355.1587301588,36.14644905034889,70.27730431362265,72.20126667373627,14.325117849615898,3.2939999999999996,11.4350006,0.85425,7.3999999999999995,17955385344,Consumer Cyclical,True
ARE,142.47039794921875,42.06353029476786,914628.1746031746,12.572311325628565,7.4597477965546135,64.15118884621263,6.535757412972966,-1.084,19.073,0.66083,-5.0,9769510912,Real Estate,False
ATO,82.44790649414062,41.677926827414716,967417.0634920635,-13.337721000955991,-6.466967727997873,36.89756064168926,-2.9147801051857924,9.322999999999999,30.696,0.68616,12.1,27508484096,Utilities,False
AVB,133.57362365722656,50.654700319014836,1100723.8095238095,-20.524193376326874,0.8997535679624519,37.950165422087075,-0.13927668815705924,9.754,29.28,0.73165,4.3999999999999995,25771327488,Real Estate,False
AVGO,39.117637634277344,51.37344000663715,24484650.793650795,41.03790167339962,40.277438541223006,64.73714861218511,11.354548408863247,31.048,31.765,1.66032,16.400000000000002,1621847441408,Technology,True
AWK,136.5604248046875,42.87448508123231,1001482.5396825396,27.272870775847487,15.752696067922656,56.24271551849942,-2.0213299264255076,10.456999999999999,42.591,1.4098300000000001,9.700000000000001,25945876480,Utilities,False
