Config,Position %,Max Holdings,CAGR %,Final Value $,Total Return %,Max DD %,Win Rate %,Trades
7/7 (baseline),7,7,21.937000924991047,297664.253508978,170.60386682634362,-33.20112794954494,40.0,50
10/10 (current),10,10,21.937000924991047,297664.253508978,170.60386682634362,-33.20112794954494,40.0,50
12/10,12,10,21.937000924991047,297664.253508978,170.60386682634362,-33.20112794954494,40.0,50
15/10,15,10,21.937000924991047,297664.253508978,170.60386682634362,-33.20112794954494,40.0,50
8/12,8,12,21.937000924991047,297664.253508978,170.60386682634362,-33.20112794954494,40.0,50
10/12,10,12,21.937000924991047,297664.253508978,170.60386682634362,-33.20112794954494,40.0,50
7/15,7,15,21.937000924991047,297664.253508978,170.60386682634362,-33.20112794954494,40.0,50
15/6,15,6,21.937000924991047,297664.253508978,170.60386682634362,-33.20112794954494,40.0,50
20/5,20,5,21.937000924991047,297664.253508978,170.60386682634362,-33.20112794954494,40.0,50
5/15,5,15,21.937000924991047,297664.253508978,170.60386682634362,-33.20112794954494,40.0,50
6/15,6,15,21.937000924991047,297664.253508978,170.60386682634362,-33.20112794954494,40.0,50
