Date,Ticker,Action,Shares,Price,Value,State,Portfolio_Value,Entry_Date,Entry_Price,Entry_State,Hold_Days,PnL_$,PnL_%
2022-11-14,ASML,BUY,19,569.2840982055664,10816.397865905761,P1,110000.0,,,,,,
2023-01-16,TSM,BUY,134,84.0829447555542,11267.114597244263,P1,111379.18074737549,,,,,,
2023-01-23,NVDA,BUY,625,18.088478689193725,11305.299180746078,P1,111553.23535484314,,,,,,
2023-02-06,NU,BUY,2335,4.973500096797943,11613.122726023195,P1,114455.32162446022,,,,,,
2023-02-06,AMD,BUY,132,87.38134628295897,11534.337709350584,P1,114455.32162446022,,,,,,
2023-02-06,PLTR,BUY,1360,8.53614984512329,11609.163789367674,P1,114455.32162446022,,,,,,
2023-02-13,PLTR,SELL,1360,7.434900226593017,10111.464308166504,N2,121636.99277592421,2023-02-06,8.53614984512329,P1,7.0,-1497.6994812011708,-12.90101085982479
2023-02-20,PLTR,BUY,1205,9.337999806404113,11252.289766716956,P1,110934.72032452346,,,,,,
2023-03-13,PLTR,SELL,1205,7.276499905586243,8768.182386231423,N2,116373.2166441989,2023-02-20,9.337999806404113,P1,21.0,-2484.107380485533,-22.076461164671134
2023-03-20,GOOG,BUY,110,103.22270912170409,11354.498003387449,P1,112654.70245829344,,,,,,
2023-03-27,NU,SELL,2335,4.128300075531006,9639.580676364898,N2,122661.26708727599,2023-02-06,4.973500096797943,P1,49.0,-1973.5420496582974,-16.99406866023983
2023-04-17,PLTR,BUY,1272,8.942150425910949,11374.415341758728,P1,112091.30239229917,,,,,,
2023-04-24,NU,BUY,2198,5.064849767684936,11132.539789371489,P1,109698.34319296599,,,,,,
2023-05-08,PLTR,SELL,1272,7.335899848937988,9331.26460784912,N2,120390.42905728103,2023-04-17,8.942150425910949,P1,21.0,-2043.1507339096079,-17.962687949407105
2023-05-15,PLTR,BUY,1192,9.642499999999998,11493.859999999999,P1,113265.10444275619,,,,,,
2023-05-22,MRVL,BUY,273,45.704275569915765,12477.267230587004,P1,123132.07998734237,,,,,,
2023-06-05,TSLA,BUY,48,217.17955123901365,10424.618459472655,P1,139494.52120898012,,,,,,
2023-09-18,ASML,SELL,19,578.9596618652344,11000.233575439453,N2,152175.42888361693,2022-11-14,569.2840982055664,P1,308.0,183.83570953369235,1.6996019544839296
2023-09-25,TSM,SELL,134,82.10171997070313,11001.630476074219,N2,144138.28526987793,2023-01-16,84.0829447555542,P1,252.0,-265.4841211700441,-2.3562742606254914
2023-10-30,MRVL,SELL,273,46.44247089385986,12678.794554023743,N2,144700.80047648193,2023-05-22,45.704275569915765,P1,161.0,201.5273234367396,1.6151559449068444
2023-11-13,ASML,BUY,22,659.5515719604491,14510.13458312988,P1,147833.63051645996,,,,,,
2023-11-13,TSM,BUY,156,95.77315490722656,14940.612165527342,P1,147833.63051645996,,,,,,
2023-11-20,MRVL,BUY,96,55.997807559967036,5375.789525756835,P1,150373.4559571338,,,,,,
2024-01-15,TSLA,SELL,48,216.70109939575195,10401.652770996094,N2,167608.28792948485,2023-06-05,217.17955123901365,P1,224.0,-22.9656884765609,-0.22030243663922694
2024-07-08,TSLA,BUY,40,255.29280433654782,10211.712173461912,P1,251697.4982299304,,,,,,
2024-07-08,ARM,BUY,1,183.90785247802734,183.90785247802734,P1,251697.49822993044,,,,,,
2024-07-29,AMD,SELL,132,138.59010543823243,18293.89391784668,N2,244830.18198054077,2023-02-06,87.38134628295897,P1,539.0,6759.556208496095,58.60376537281634
2024-08-05,MRVL,SELL,96,58.38420993804932,5604.884154052735,N2,217456.66108622315,2023-11-20,55.997807559967036,P1,259.0,229.09462829589938,4.261599662677383
2024-08-05,ASML,SELL,22,791.8344360351563,17420.35759277344,N2,229215.51953348878,2023-11-13,659.5515719604491,P1,266.0,2910.223009643558,20.056485299778757
2024-08-26,MRVL,BUY,342,72.57785873413086,24821.627687072752,P1,245207.19523081544,,,,,,
2024-09-02,ASML,BUY,18,906.6399530029296,16319.519154052732,P1,240501.61416506532,,,,,,
2024-09-09,ASML,SELL,18,736.4984271240235,13256.971688232423,N2,229072.58488772158,2024-09-02,906.6399530029296,P1,7.0,-3062.5474658203093,-18.766162390634943
2024-09-30,AMD,BUY,80,166.81525619506834,13345.220495605467,P1,243867.04286120177,,,,,,
2024-11-04,AMD,SELL,80,140.44140060424806,11235.312048339845,N2,276296.81281397585,2024-09-30,166.81525619506834,P1,35.0,-2109.9084472656214,-15.810217957510755
2024-12-09,NU,SELL,2198,11.90969973564148,26177.520018939973,N2,348847.23186360125,2023-04-24,5.064849767684936,P1,595.0,15044.980229568484,135.14418555173094
2025-01-06,ALAB,BUY,236,143.04394256591794,33758.37044555663,P1,333149.87870846514,,,,,,
2025-02-03,NU,BUY,282,13.438599767684936,3789.685134487152,P1,310647.5992358089,,,,,,
2025-02-24,NU,SELL,282,10.711799697875977,3020.7275148010253,N2,330569.37974478485,2025-02-03,13.438599767684936,P1,21.0,-768.9576196861267,-20.290804971853888
2025-03-03,ARM,SELL,1,130.3731024169922,130.3731024169922,N2,289793.9959502292,2024-07-08,183.90785247802734,P1,238.0,-53.53475006103514,-29.109550973323056
2025-03-10,NVDA,SELL,625,111.53260299682617,69707.87687301636,N2,341458.2953848911,2023-01-23,18.088478689193725,P1,777.0,58402.57769227028,516.5947115467322
